	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
781	MIQUEL Y COSTAS	ES0164180012	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Materials	0.0002979267
782	CIE DES ALPES	FR0000053324	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0002969661
783	TBC BANK	GB00BYT18307	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0002966705
784	TECNICAS REUNIDAS	ES0178165017	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Energy	0.0002950537
785	SARAS	IT0000433307	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Energy	0.0002901192
786	LIECHTENSTEIN LANDESBANK	LI0355147575	Liechtenstein	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.0002892708
787	U-BLOX HLDG.	CH0033361673	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Information Technology	0.0002883109
788	HAMBORNER REIT AG	DE000A3H2333	Deutschland	EUR	-	Equity	-	-	Real Estate	0.000285527
789	ILLIMITY BANK	IT0005359192	Italien	EUR	-	Equity	-	-	Financials	0.0002854571
790	BURKHALTER HLDGS.	CH0212255803	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0002852893
791	AB DYNAMICS RG	GB00B9GQVG73	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Discretionary	0.000282929
792	ALPHA FX GRP RG	GB00BF1TM596	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0002828107
793	SMA SOLAR	DE000A0DJ6J9	Deutschland	EUR	XETRA	Equity	-	DAX Index	Information Technology	0.0002821274
794	X-FAB SILICON F	BE0974310428	Belgien	EUR	-	Equity	-	-	Information Technology	0.0002818682
795	YPSOMED	CH0019396990	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Health Care	0.0002807279
